STATION,DATE,NAME,PRCP,SNOW,SNWD,TMAX,TMIN
USC00441593,2020-02-27,"CHARLOTTESVILLE 2 W, VA US",107.0,0.0,0.0,55.0,33.1
USC00441593,2020-02-28,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,45.0,27.0
USC00441593,2020-02-29,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,44.1,28.9
USC00441593,2020-03-01,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,39.9,27.0
USC00441593,2020-03-02,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,54.0,28.9
USC00441593,2020-03-03,"CHARLOTTESVILLE 2 W, VA US",5.0,0.0,0.0,64.0,41.0
USC00441593,2020-03-04,"CHARLOTTESVILLE 2 W, VA US",8.0,0.0,0.0,64.9,45.0
USC00441593,2020-03-05,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,64.9,41.0
USC00441593,2020-03-06,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,54.0,36.0
USC00441593,2020-03-07,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,55.0,36.0
USC00441593,2020-03-08,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,51.1,35.1
USC00441593,2020-03-09,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,64.0,36.0
USC00441593,2020-03-10,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,75.0,39.9
USC00441593,2020-03-11,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,71.1,48.9
USC00441593,2020-03-12,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,64.9,45.0
USC00441593,2020-03-13,"CHARLOTTESVILLE 2 W, VA US",46.0,0.0,0.0,62.1,45.0
USC00441593,2020-03-14,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,73.9,45.0
USC00441593,2020-03-15,"CHARLOTTESVILLE 2 W, VA US",20.0,0.0,0.0,57.0,37.0
USC00441593,2020-03-16,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,45.0,37.0
USC00441593,2020-03-17,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,52.0,37.9
USC00441593,2020-03-18,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,69.1,41.0
USC00441593,2020-03-19,"CHARLOTTESVILLE 2 W, VA US",64.0,0.0,0.0,55.0,44.1
USC00441593,2020-03-20,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,80.1,50.0
USC00441593,2020-03-21,"CHARLOTTESVILLE 2 W, VA US",48.0,0.0,0.0,79.0,48.9
USC00441593,2020-03-22,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,53.1,37.9
USC00441593,2020-03-23,"CHARLOTTESVILLE 2 W, VA US",28.0,0.0,0.0,52.0,39.0
USC00441593,2020-03-24,"CHARLOTTESVILLE 2 W, VA US",10.0,0.0,0.0,48.0,37.9
USC00441593,2020-03-25,"CHARLOTTESVILLE 2 W, VA US",122.0,0.0,0.0,52.0,39.9
USC00441593,2020-03-26,"CHARLOTTESVILLE 2 W, VA US",18.0,0.0,0.0,50.0,41.0
USC00441593,2020-03-27,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,60.1,42.1
USC00441593,2020-03-28,"CHARLOTTESVILLE 2 W, VA US",8.0,0.0,0.0,73.9,46.9
USC00441593,2020-03-29,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,72.0,53.1
USC00441593,2020-03-30,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,86.0,55.0
USC00441593,2020-03-31,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,75.9,46.0
USC00441593,2020-04-01,"CHARLOTTESVILLE 2 W, VA US",102.0,0.0,0.0,54.0,37.0
USC00441593,2020-04-02,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,57.0,37.9
USC00441593,2020-04-03,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,61.0,39.9
USC00441593,2020-04-04,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,69.1,43.0
USC00441593,2020-04-05,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,66.9,45.0
USC00441593,2020-04-06,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,73.0,46.0
USC00441593,2020-04-07,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,73.0,52.0
USC00441593,2020-04-08,"CHARLOTTESVILLE 2 W, VA US",33.0,0.0,0.0,80.1,53.1
USC00441593,2020-04-09,"CHARLOTTESVILLE 2 W, VA US",13.0,0.0,0.0,79.0,55.0
USC00441593,2020-04-10,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,73.0,37.9
USC00441593,2020-04-11,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,52.0,37.0
USC00441593,2020-04-12,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,66.0,37.9
USC00441593,2020-04-13,"CHARLOTTESVILLE 2 W, VA US",876.0,0.0,0.0,73.0,48.9
USC00441593,2020-04-14,"CHARLOTTESVILLE 2 W, VA US",41.0,0.0,0.0,77.0,45.0
USC00441593,2020-04-15,"CHARLOTTESVILLE 2 W, VA US",140.0,0.0,0.0,61.0,32.0
USC00441593,2020-04-16,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,55.0,34.0
USC00441593,2020-04-17,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,59.0,36.0
USC00441593,2020-04-18,"CHARLOTTESVILLE 2 W, VA US",30.0,0.0,0.0,66.9,37.9
USC00441593,2020-04-19,"CHARLOTTESVILLE 2 W, VA US",3.0,0.0,0.0,57.9,37.0
USC00441593,2020-04-20,"CHARLOTTESVILLE 2 W, VA US",3.0,0.0,0.0,66.0,37.9
USC00441593,2020-04-21,"CHARLOTTESVILLE 2 W, VA US",8.0,0.0,0.0,64.0,46.0
USC00441593,2020-04-22,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,70.0,41.0
USC00441593,2020-04-23,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,68.0,42.1
USC00441593,2020-04-24,"CHARLOTTESVILLE 2 W, VA US",196.0,0.0,0.0,55.9,48.0
USC00441593,2020-04-25,"CHARLOTTESVILLE 2 W, VA US",18.0,0.0,0.0,68.0,48.0
USC00441593,2020-04-26,"CHARLOTTESVILLE 2 W, VA US",191.0,0.0,0.0,62.1,48.9
USC00441593,2020-04-27,"CHARLOTTESVILLE 2 W, VA US",18.0,0.0,0.0,64.0,45.0
USC00441593,2020-04-28,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,60.1,44.1
USC00441593,2020-04-29,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,66.9,45.0
USC00441593,2020-04-30,"CHARLOTTESVILLE 2 W, VA US",244.0,0.0,0.0,73.9,46.9
USC00441593,2020-05-01,"CHARLOTTESVILLE 2 W, VA US",91.0,0.0,0.0,61.0,50.0
USC00441593,2020-05-02,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,63.0,48.9
USC00441593,2020-05-03,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,72.0,51.1
USC00441593,2020-05-04,"CHARLOTTESVILLE 2 W, VA US",71.0,0.0,0.0,84.0,57.9
USC00441593,2020-05-05,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,75.9,46.9
USC00441593,2020-05-06,"CHARLOTTESVILLE 2 W, VA US",33.0,0.0,0.0,53.1,46.0
USC00441593,2020-05-07,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,63.0,41.0
USC00441593,2020-05-08,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,69.1,46.0
USC00441593,2020-05-09,"CHARLOTTESVILLE 2 W, VA US",15.0,0.0,0.0,68.0,34.0
USC00441593,2020-05-10,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,55.0,35.1
USC00441593,2020-05-11,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,66.0,39.9
USC00441593,2020-05-12,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,60.1,42.1
USC00441593,2020-05-13,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,63.0,45.0
USC00441593,2020-05-14,"CHARLOTTESVILLE 2 W, VA US",10.0,0.0,0.0,69.1,48.0
USC00441593,2020-05-15,"CHARLOTTESVILLE 2 W, VA US",8.0,0.0,0.0,75.9,50.0
USC00441593,2020-05-16,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,84.9,60.1
USC00441593,2020-05-17,"CHARLOTTESVILLE 2 W, VA US",10.0,0.0,0.0,82.0,61.0
USC00441593,2020-05-18,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,66.0,57.0
USC00441593,2020-05-19,"CHARLOTTESVILLE 2 W, VA US",104.0,0.0,0.0,63.0,53.1
USC00441593,2020-05-20,"CHARLOTTESVILLE 2 W, VA US",8.0,0.0,0.0,60.1,48.9
USC00441593,2020-05-21,"CHARLOTTESVILLE 2 W, VA US",46.0,0.0,0.0,54.0,48.0
USC00441593,2020-05-22,"CHARLOTTESVILLE 2 W, VA US",378.0,0.0,0.0,62.1,48.0
USC00441593,2020-05-23,"CHARLOTTESVILLE 2 W, VA US",13.0,0.0,0.0,75.9,61.0
USC00441593,2020-05-24,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,82.9,60.1
USC00441593,2020-05-25,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,70.0,57.9
USC00441593,2020-05-26,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,75.0,57.9
USC00441593,2020-05-27,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,79.0,62.1
USC00441593,2020-05-28,"CHARLOTTESVILLE 2 W, VA US",135.0,0.0,0.0,75.9,66.0
USC00441593,2020-05-29,"CHARLOTTESVILLE 2 W, VA US",28.0,0.0,0.0,82.0,70.0
USC00441593,2020-05-30,"CHARLOTTESVILLE 2 W, VA US",66.0,0.0,0.0,82.9,64.9
USC00441593,2020-05-31,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,82.0,57.0
USC00441593,2020-06-01,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,75.0,50.0
USC00441593,2020-06-02,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,73.0,53.1
